zone,population,placename,category,description,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,total22,total23,2024,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
01,4900,Murchison Road,Aggravated Assault,AGGRAVATED ASSAULT,24,25,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Aggravated Assault,AGGRAVATED ASSAULT - DOMESTIC,10,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Aggravated Assault,AGGRAVATED ASSAULT - OFFICER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Aggravated Assault,ALL OTHER,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Burglary,BURGLARY - FORCIBLE ENTRY - BUSINESS,12,22,13,2,10,4,6,10,4,2,5,2,6,4,8,4,7,13,4.3,200,250,16.7,63,40.8,102,40.8,122.4,142.9,87.8
01,4900,Murchison Road,Burglary,BURGLARY - FORCIBLE ENTRY - RESIDENCE,110,134,125,60,62,78,32,32,39,23,27,22,23,28,16,13,15,72,24,0,-34.8,-34.8,-38,469.4,551,449,469.4,306.1,489.8
01,4900,Murchison Road,Burglary,BURGLARY - NO FORCE ENTRY - BUSINESS,2,1,2,1,2,0,0,2,0,4,0,1,1,2,1,2,2,2,0.7,-75,-50,100,186,81.6,0,20.4,20.4,40.8,14.3
01,4900,Murchison Road,Burglary,BURGLARY - NO FORCE ENTRY - RESIDENCE,23,32,20,12,21,18,10,4,15,9,15,13,9,7,9,6,7,37,12.3,0,-22.2,-22.2,-43,183.7,306.1,265.3,183.7,142.9,251
01,4900,Murchison Road,Motor Vehicle Theft,MOTOR VEHICLE THEFT - AUTOMOBILE,26,23,19,24,23,10,11,10,14,10,20,14,12,16,18,36,42,46,15.3,20,320,250,175,204.1,408.2,285.7,244.9,857.1,312.2
01,4900,Murchison Road,Motor Vehicle Theft,MOTOR VEHICLE THEFT - OTHER VEHICLE,6,3,3,5,2,3,2,3,1,2,3,1,0,4,0,2,2,4,1.3,-100,0,NA,54,40.8,61.2,20.4,0,40.8,26.5
01,4900,Murchison Road,Motor Vehicle Theft,MOTOR VEHICLE THEFT - TRUCK,4,1,5,3,2,0,1,0,0,0,1,0,2,0,0,0,0,3,1,NA,NA,-100,-100,0,20.4,0,40.8,0,20.4
01,4900,Murchison Road,Murder,CRIMINAL HOMICIDE - MURDER,1,1,0,1,1,1,0,0,1,0,1,3,4,6,2,2,2,8,2.7,NA,NA,-50,-26,0,20.4,61.2,81.6,40.8,55.1
01,4900,Murchison Road,Other/Unknown,ALL OTHER - COMMUNICATING THREATS,20,28,29,25,23,35,15,25,18,16,29,26,19,19,23,23,25,74,24.7,18.8,56.2,31.6,1,326.5,591.8,530.6,387.8,510.2,504.1
01,4900,Murchison Road,Other/Unknown,ALL OTHER - KIDNAPPING,2,3,2,5,2,2,1,3,2,1,1,1,1,3,2,2,3,3,1,0,200,200,200,20.4,20.4,20.4,20.4,61.2,20.4
01,4900,Murchison Road,Other/Unknown,ARSON,4,4,1,2,1,5,3,2,2,1,5,6,5,11,4,2,4,16,5.3,400,300,-20,-25,20.4,102,122.4,102,81.6,108.2
01,4900,Murchison Road,Other/Unknown,ASSAULT - DOMESTIC VIOLENCE,11,15,22,19,13,17,20,12,20,25,31,29,16,19,22,0,2,76,25.3,-36,-92,-87.5,-92,510.2,632.7,591.8,326.5,40.8,516.3
01,4900,Murchison Road,Other/Unknown,ASSAULT - NON PHYSICAL,1,2,0,0,1,0,0,1,0,1,0,1,0,2,3,0,1,1,0.3,-100,0,NA,233,20.4,0,20.4,0,20.4,6.1
01,4900,Murchison Road,Other/Unknown,ASSAULT - PHYSICAL OFFICER,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,ASSAULT - SIMPLE DOMESTIC,13,34,32,47,22,46,22,25,37,13,17,11,16,22,19,47,54,44,14.7,23.1,315.4,237.5,267,265.3,346.9,224.5,326.5,1102,300
01,4900,Murchison Road,Other/Unknown,ASSAULT - SIMPLE PHYSICAL,49,41,36,38,36,38,25,29,39,30,39,33,47,30,34,50,60,119,39.7,56.7,100,27.7,51,612.2,795.9,673.5,959.2,1224.5,810.2
01,4900,Murchison Road,Other/Unknown,COUNTERFEIT - BUY / RECEIVE,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,COUNTERFEIT - POSSESSION / CONCEAL,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,FORGERY - USING / UTTERING,1,4,0,1,1,2,1,0,1,1,1,2,1,0,0,0,0,4,1.3,0,-100,-100,-100,20.4,20.4,40.8,20.4,0,26.5
01,4900,Murchison Road,Other/Unknown,FRAUD - CREDIT CARD / ATM,4,4,9,6,10,4,6,5,9,15,9,14,14,6,4,2,3,37,12.3,-6.7,-80,-78.6,-76,306.1,183.7,285.7,285.7,61.2,251
01,4900,Murchison Road,Other/Unknown,FRAUD - FALSE PRETENSE,3,7,13,14,10,10,23,23,15,11,9,4,10,8,6,11,11,23,7.7,-9.1,0,10,43,224.5,183.7,81.6,204.1,224.5,157.1
01,4900,Murchison Road,Other/Unknown,FRAUD - OTHER,5,10,7,4,7,6,4,5,2,2,3,0,2,3,3,2,4,5,1.7,0,100,100,135,40.8,61.2,0,40.8,81.6,34.7
01,4900,Murchison Road,Other/Unknown,FRAUD - UNAUTHORIZED USE OF CONVEYANCE,22,8,20,19,7,9,8,7,13,14,12,13,17,5,9,10,12,42,14,21.4,-14.3,-29.4,-14,285.7,244.9,265.3,346.9,244.9,285.7
01,4900,Murchison Road,Other/Unknown,OTHER - THREATENING PHONE CALL,2,4,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,SIMPLE ASLT ALL OTHER,6,10,7,6,6,4,2,4,2,5,3,1,1,0,0,1,1,5,1.7,-80,-80,0,-41,102,61.2,20.4,20.4,20.4,34.7
01,4900,Murchison Road,Other/Unknown,STOLEN PROPERTY - POSSESSION,5,10,6,2,2,1,1,3,10,3,8,2,2,4,0,0,0,12,4,-33.3,-100,-100,-100,61.2,163.3,40.8,40.8,0,81.6
01,4900,Murchison Road,Other/Unknown,VANDALISM / DAMAGE TO PROPERTY,92,135,94,82,90,96,54,81,59,57,102,89,83,73,54,59,75,274,91.3,45.6,31.6,-9.6,-18,1163.3,2081.6,1816.3,1693.9,1530.6,1863.3
01,4900,Murchison Road,Robbery,ROBBERY - BUSINESS,1,5,0,0,0,1,1,5,0,1,2,0,3,0,4,1,2,5,1.7,200,100,-33.3,18,20.4,40.8,0,61.2,40.8,34.7
01,4900,Murchison Road,Robbery,ROBBERY - INDIVIDUAL,22,29,26,27,17,8,6,12,10,8,12,9,7,6,11,1,4,28,9.3,-12.5,-50,-42.9,-57,163.3,244.9,183.7,142.9,81.6,189.8
01,4900,Murchison Road,Theft,LARCENY - ALL OTHER,61,82,70,76,65,58,45,39,24,22,26,26,22,32,32,39,50,74,24.7,0,127.3,127.3,102,449,530.6,530.6,449,1020.4,504.1
01,4900,Murchison Road,Theft,LARCENY - AUTOMOBILE ACCESSORIES,17,14,22,10,15,11,15,15,15,9,12,10,6,2,2,4,6,28,9.3,-33.3,-33.3,0,-35,183.7,244.9,204.1,122.4,122.4,189.8
01,4900,Murchison Road,Theft,LARCENY - BICYCLE,2,0,1,2,1,5,2,3,2,3,1,1,0,3,3,2,2,2,0.7,-100,-33.3,NA,186,61.2,20.4,20.4,0,40.8,14.3
01,4900,Murchison Road,Theft,LARCENY - FROM BUILDING,10,22,10,11,3,25,23,19,30,19,26,18,26,21,5,9,9,70,23.3,36.8,-52.6,-65.4,-61,387.8,530.6,367.3,530.6,183.7,475.5
01,4900,Murchison Road,Theft,LARCENY - FROM MOTOR VEHICLE,44,40,38,34,33,24,26,25,11,24,40,22,17,12,16,25,31,79,26.3,-29.2,29.2,82.4,18,489.8,816.3,449,346.9,632.7,536.7
01,4900,Murchison Road,Theft,LARCENY - GAS,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Theft,LARCENY - SHOPLIFTING,7,1,1,1,6,2,6,12,12,35,66,22,28,21,18,17,21,116,38.7,-20,-40,-25,-46,714.3,1346.9,449,571.4,428.6,789.8
01,4900,Murchison Road,Other/Unknown,ALL OTHER - STALKING,0,1,2,0,0,4,0,0,2,0,0,2,2,1,2,0,1,4,1.3,NA,NA,-50,-23,0,0,40.8,40.8,20.4,26.5
01,4900,Murchison Road,Other/Unknown,COUNTERFEIT - USING,0,3,0,2,3,2,1,1,2,1,0,0,2,1,0,0,0,2,0.7,100,-100,-100,-100,20.4,0,0,40.8,0,14.3
01,4900,Murchison Road,Other/Unknown,FRAUD - IMPERSONATION,0,3,2,6,6,5,5,5,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
