zone,population,placename,type,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,2026,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
01,4900,Murchison Road,Property,325,377,332,248,254,242,180,177,173,171,247,154,159,159,130,178,1,178,560,186.7,-7,4.1,11.9,-5,3489.8,5040.8,3142.9,3244.9,3632.7,3810.2
02,9000,"Hillendale, Rivercliff and Country Club North",Property,393,405,401,390,307,260,254,208,200,228,257,159,173,175,148,221,0,220,589,196.3,-24.1,-3.5,27.2,12,2533.3,2855.6,1766.7,1922.2,2444.4,2181.1
03,5700,North Street Park and Winter Terrace Park,Property,437,503,408,407,300,287,252,213,195,159,206,181,227,231,224,169,1,166,614,204.7,42.8,4.4,-26.9,-19,2789.5,3614,3175.4,3982.5,2912.3,3591.2
04,3600,East Fayetteville,Property,498,475,480,488,347,374,402,393,325,310,294,360,388,329,331,289,1,289,1042,347.3,25.2,-6.8,-25.5,-17,8611.1,8166.7,10000,10777.8,8027.8,9647.2
05,3700,Southwest of Downtown,Property,406,407,462,410,345,393,506,674,540,428,392,336,464,449,513,453,4,452,1192,397.3,8.4,5.6,-2.6,14,11567.6,10594.6,9081.1,12540.5,12216.2,10737.8
06,8200,Bordeaux and Holiday Park,Property,689,775,815,741,604,656,628,528,487,451,426,359,446,390,356,354,2,356,1231,410.3,-1.1,-21.1,-20.2,-13,5500,5195.1,4378,5439,4341.5,5003.7
07,3600,Haymount,Property,194,266,221,190,166,128,169,131,113,152,103,77,110,111,98,74,0,74,290,96.7,-27.6,-51.3,-32.7,-23,4222.2,2861.1,2138.9,3055.6,2055.6,2686.1
08,5900,Edenroc and Greenwood Homes,Property,466,503,610,485,372,369,356,268,235,273,305,253,288,281,208,177,0,177,846,282,5.5,-35.2,-38.5,-37,4627.1,5169.5,4288.1,4881.4,3000,4779.7
09,5200,Green Valley Estates and Kornbow,Property,486,575,473,468,379,390,316,265,204,291,317,257,269,307,298,257,2,252,843,281,-7.6,-13.4,-6.3,-10,5596.2,6096.2,4942.3,5173.1,4846.2,5403.8
10,3800,Kirkwood,Property,469,414,466,832,851,768,743,622,452,492,409,341,404,281,145,143,2,143,1154,384.7,-17.9,-70.9,-64.6,-63,12947.4,10763.2,8973.7,10631.6,3763.2,10123.7
