zone,population,placename,type,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
01,4900,Murchison Road,Other/Unknown,244,336,289,289,248,295,200,248,244,223,283,249,257,259,309,789,263,15.2,38.6,20.2,17,4551,5775.5,5081.6,5244.9,6306.1,5367.3
01,4900,Murchison Road,Property,325,377,332,248,254,242,180,177,173,171,247,154,159,204,236,560,186.7,-7,38,48.4,26,3489.8,5040.8,3142.9,3244.9,4816.3,3810.2
01,4900,Murchison Road,Violent,65,75,52,53,41,35,49,65,73,62,88,73,93,84,101,254,84.7,50,62.9,8.6,19,1265.3,1795.9,1489.8,1898,2061.2,1728.6
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,289,295,253,260,227,272,236,219,222,179,243,225,206,281,335,674,224.7,15.1,87.2,62.6,49,1988.9,2700,2500,2288.9,3722.2,2496.7
02,9000,"Hillendale, Rivercliff and Country Club North",Property,393,405,401,390,307,260,254,208,200,228,257,159,173,247,273,589,196.3,-24.1,19.7,57.8,39,2533.3,2855.6,1766.7,1922.2,3033.3,2181.1
02,9000,"Hillendale, Rivercliff and Country Club North",Violent,28,38,29,28,22,29,21,43,22,30,48,32,28,34,41,108,36,-6.7,36.7,46.4,14,333.3,533.3,355.6,311.1,455.6,400
03,5700,North Street Park and Winter Terrace Park,Other/Unknown,350,469,405,386,300,355,274,304,254,222,277,225,305,382,457,807,269,37.4,105.9,49.8,70,3894.7,4859.6,3947.4,5350.9,8017.5,4719.3
03,5700,North Street Park and Winter Terrace Park,Property,437,503,408,407,300,287,252,213,195,159,206,181,227,291,345,614,204.7,42.8,117,52,69,2789.5,3614,3175.4,3982.5,6052.6,3591.2
03,5700,North Street Park and Winter Terrace Park,Violent,82,71,61,58,51,52,67,60,78,69,70,75,87,73,97,232,77.3,26.1,40.6,11.5,25,1210.5,1228.1,1315.8,1526.3,1701.8,1356.1
04,3600,East Fayetteville,Other/Unknown,256,281,295,287,244,249,237,272,237,206,238,301,258,329,373,797,265.7,25.2,81.1,44.6,40,5722.2,6611.1,8361.1,7166.7,10361.1,7380.6
